Provinsi,SD_2019,SD_2020,SD_2021,SMP_2019,SMP_2020,SMP_2021,SMA_2019,SMA_2020,SMA_2021
ACEH,98.60,98.33,99.44,89.50,90.92,93.43,69.96,70.07,74.36
SUMATERA UTARA,97.12,96.48,98.57,88.26,91.63,91.35,65.21,70.39,72.81
SUMATERA BARAT,91.25,93.26,95.29,84.07,87.12,89.49,60.32,67.11,70.06
RIAU,95.11,95.18,96.91,84.97,86.84,87.11,58.78,66.62,68.94
JAMBI,96.99,95.34,98.54,84.40,86.31,89.00,56.87,63.66,64.51
SUMATERA SELATAN,96.08,95.93,97.82,83.40,85.02,87.68,58.23,65.42,67.20
BENGKULU,93.33,95.16,98.16,85.13,87.68,89.94,61.47,62.73,62.46
LAMPUNG,96.05,97.69,98.33,84.08,86.66,89.46,54.87,57.59,60.09
KEP. BANGKA BELITUNG,92.80,96.05,96.61,77.96,81.91,80.99,53.84,56.74,63.98
KEP. RIAU,95.69,95.25,98.16,91.56,94.80,92.71,78.14,78.65,81.07
DKI JAKARTA,96.05,97.80,99.26,93.02,94.57,95.00,84.35,85.67,84.98
JAWA BARAT,97.92,97.76,98.45,85.53,88.17,88.18,57.46,63.56,64.89
JAWA TENGAH,96.61,97.20,98.06,85.47,89.00,88.44,49.79,55.82,59.90
DI YOGYAKARTA,94.92,96.43,98.48,92.34,92.36,94.94,84.54,87.99,90.12
JAWA TIMUR,96.30,96.81,97.76,86.21,89.98,90.30,57.74,63.53,66.33
BANTEN,96.26,96.03,98.82,87.40,86.70,90.63,56.94,64.24,66.90
BALI,98.34,96.66,97.02,93.33,93.21,94.26,64.52,74.88,75.86
NUSA TENGGARA BARAT,96.62,97.29,98.71,88.64,89.91,92.19,57.60,64.66,65.71
NUSA TENGGARA TIMUR,87.39,86.92,91.84,74.31,78.81,78.83,43.85,50.65,44.88
KALIMANTAN BARAT,88.23,91.79,94.29,72.78,80.88,79.65,49.29,55.23,54.27
KALIMANTAN TENGAH,94.66,95.45,97.45,81.01,84.83,89.76,50.01,60.77,61.04
KALIMANTAN SELATAN,91.85,94.10,95.67,82.77,82.48,84.06,59.52,63.05,63.59
KALIMANTAN TIMUR,96.07,95.84,96.82,86.98,92.40,95.34,64.74,71.63,74.26
KALIMANTAN UTARA,93.23,96.38,95.77,83.85,87.14,90.14,61.10,67.77,62.30
SULAWESI UTARA,95.97,95.58,96.10,85.67,86.69,91.05,67.58,73.79,68.56
SULAWESI TENGAH,93.56,95.05,96.19,82.23,82.79,85.42,52.00,57.68,61.16
SULAWESI SELATAN,95.18,96.13,97.30,83.74,85.08,88.18,60.97,66.22,69.43
SULAWESI TENGGARA,94.54,95.28,95.58,85.46,89.18,90.88,64.26,68.28,70.65
GORONTALO,89.04,91.90,93.44,80.60,80.10,81.22,50.87,55.35,53.73
SULAWESI BARAT,91.54,94.70,95.93,77.68,83.08,86.09,48.20,56.60,56.22
MALUKU,94.95,97.47,98.50,88.43,88.04,93.08,67.82,70.55,68.12
MALUKU UTARA,94.66,95.59,96.97,85.07,87.41,92.93,59.13,66.52,66.95
PAPUA BARAT,88.46,89.25,91.81,80.91,83.47,85.18,50.95,61.49,59.08
PAPUA,73.07,78.40,78.43,59.31,65.75,66.06,27.44,30.92,32.95
