Aceh,3.166.460
Sumatera Utara,2.522.609
Sumatera Barat,3.512.539
Riau,2.938.564
Jambi,2.698.940
Sumatera Selatan,3.144.466
Bengkulu,2.238.094
Lampung,2.440.486
Kep. Bangka Belitung,3.264.884
Kep. Riau,3.050.172
DKI Jakarta,4.641.854
Jawa Barat,1.841.487
Jawa Tengah,1.812.935
DI Yogyakarta,1.840.487
Jawa Timur,1.891.567
Banten,2.501.203
Bali,2.516.971
Nusa Tenggara Barat,2.207.212
Nusa Tenggara Timur,1.975.000
Kalimantan Barat,2.434.328
Kalimantan Tengah,2.922.516
Kalimantan Selatan,2.906.473
Kalimantan Timur,3.014.497
Kalimantan Utara,3.016.738
Sulawesi Utara,3.310.723
Sulawesi Tengah,2.390.739
Sulawesi Selatan,3.165.876
Sulawesi Tenggara,2.576.016
Gorontalo,2.800.580
Sulawesi Barat,2.678.863
Maluku,2.619.312
Maluku Utara,2.862.231
Papua Barat,3.200.000
Papua,3.561.932
