provinsi,tidak_tamat_022022,sd_022022,smp_022022,sma_022022
Aceh,"1240,9","1407,3","1706,8","1729,7"
Sumatera Utara,"1107,3","1577,6","1552,0","1782,1"
Sumatera Barat,"1081,2","1511,7","1643,2","1987,5"
Riau,"1610,8","2064,4","2128,8","2039,9"
Jambi,"1746,6","1695,8","1976,6","2037,9"
Sumatera Selatan,"1371,6","1624,0","1715,6","2166,5"
Bengkulu,"1141,0","2477,1","2193,7","2049,5"
Lampung,"1298,8","1295,7","1391,0","1817,3"
Kep. Bangka Belitung,"1917,2","2210,9","2408,2","2160,4"
Kep. Riau,"1893,7","1992,4","2146,3","2802,1"
DKI Jakarta,"3076,8","2608,3","2937,6","4205,8"
Jawa Barat,"1378,1","1527,7","1827,6","2426,8"
Jawa Tengah,"955,3","1267,8","1412,8","1632,5"
DI Yogyakarta,"803,8","819,0","1404,6","1699,5"
Jawa Timur,"1065,9","1276,6","1388,5","1701,1"
Banten,"1350,1","1716,3","2350,4","3203,6"
Bali,"883,8","1048,0","1212,1","1667,1"
Nusa Tenggara Barat,"1051,9","1278,6","1065,2","1642,4"
Nusa Tenggara Timur,"910,6","966,2","1032,7","1308,2"
Kalimantan Barat,"1152,6","1671,4","1616,3","2621,1"
Kalimantan Tengah,"1675,8","2200,7","2588,8","2420,6"
Kalimantan Selatan,"1397,6","1651,9","1698,2","2100,2"
Kalimantan Timur,"1635,8","2362,4","2165,9","2675,2"
Kalimantan Utara,"1989,8","2297,2","2835,0","2541,6"
Sulawesi Utara,"1371,4","1720,3","1926,8","2223,1"
Sulawesi Tengah,"1232,5","1591,0","1510,3","1622,8"
Sulawesi Selatan,"1423,5","1736,1","1704,7","2003,3"
Sulawesi Tenggara,"1278,5","1629,5","1704,8","1883,9"
Gorontalo,"1489,4","1501,3","1544,9","1760,9"
Sulawesi Barat,"1092,2","1330,3","1299,8","1659,0"
Maluku,"1235,4","1514,1","1434,4","1847,6"
Maluku Utara,"1168,5","1365,9","1744,1","1778,1"
Papua Barat,"1727,0","2043,8","1832,0","2363,9"
Papua,"1535,0","1918,8","2383,6","2959,6"
